Date,Semester,Course_Load,Study_Hours,Sleep_Hours,Stress_Level,Productivity_Level,Assignment_Score,Exam_Status,Is_Weekend,Notes
09/01/2025,Fall 2025,3,6,8,2,3,85,,FALSE,Start of semester
09/02/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/03/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/04/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/05/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/06/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/07/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/08/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/09/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/10/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/11/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/12/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/13/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/14/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/15/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/16/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/17/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/18/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/19/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/20/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/21/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/22/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/23/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/24/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/25/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/26/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/27/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/28/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
09/29/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
09/30/2025,Fall 2025,3,6,8,2,3,85,,FALSE,
10/01/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/02/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/03/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/04/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/05/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/06/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/07/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/08/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/09/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/10/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/11/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/12/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/13/2025,Fall 2025,3,7,8,3,3,80,,FALSE,
10/14/2025,Fall 2025,3,6,7,3,3,,,TRUE,Pre-midterm weekend study
10/15/2025,Fall 2025,3,8,7,4,4,75,Midterm,FALSE,Midterm period
10/16/2025,Fall 2025,3,8,7,4,4,75,Midterm,FALSE,
10/17/2025,Fall 2025,3,4,8,3,3,,,TRUE,
10/18/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/19/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/20/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/21/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/22/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/23/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/24/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/25/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/26/2025,Fall 2025,3,2,8,1,2,,,TRUE,Social media scrolling
10/27/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/28/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/29/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/30/2025,Fall 2025,3,6,8,2,3,,,FALSE,
10/31/2025,Fall 2025,3,6,8,2,3,,,FALSE,
12/01/2025,Fall 2025,3,7,8,3,3,,,FALSE,
12/02/2025,Fall 2025,3,7,8,3,3,,,FALSE,
12/03/2025,Fall 2025,3,7,8,3,3,,,FALSE,
12/04/2025,Fall 2025,3,7,8,3,3,,,FALSE,
12/05/2025,Fall 2025,3,7,8,3,3,,,FALSE,
12/06/2025,Fall 2025,3,7,7,4,4,,Final,TRUE,Pre-finals study
12/07/2025,Fall 2025,3,7,7,4,4,,Final,TRUE,Pre-finals study
12/08/2025,Fall 2025,3,8,7,4,4,,Final,FALSE,Finals period approaching
12/09/2025,Fall 2025,3,8,7,4,4,,Final,FALSE,Finals period approaching
12/10/2025,Fall 2025,3,10,6,5,5,90,Final,FALSE,Finals period
12/11/2025,Fall 2025,3,10,6,5,5,90,Final,FALSE,
12/12/2025,Fall 2025,3,8,6,5,5,90,Final,TRUE,Study on weekend during finals
12/13/2025,Fall 2025,3,8,6,5,5,90,Final,TRUE,Study on weekend during finals
12/14/2025,Fall 2025,3,8,6,5,5,90,Final,TRUE,Study on weekend during finals
12/15/2025,Fall 2025,3,10,6,5,5,90,Final,FALSE,
12/16/2025,Fall 2025,3,10,6,5,5,90,Final,FALSE,
12/17/2025,Fall 2025,3,10,6,5,5,90,Final,FALSE,
