Date,Semester,Course_Load,Study_Hours,Sleep_Hours,Stress_Level,Productivity_Level,Assignment_Score,Exam_Status,Is_Weekend,Notes
2025-09-01,Fall 2025,3,6,8,2,3,85,None,False,Start of semester
2025-09-02,Fall 2025,3,6,8,2,3,85,None,False,
2025-09-03,Fall 2025,3,6,8,2,3,85,None,False,
2025-09-04,Fall 2025,3,6,8,2,3,85,None,False,
2025-09-05,Fall 2025,3,2,8,1,2,None,None,True,Social media scrolling
2025-09-06,Fall 2025,3,2,8,1,2,None,None,True,Social media scrolling
2025-09-07,Fall 2025,3,2,8,1,2,None,None,True,Social media scrolling
2025-10-15,Fall 2025,3,8,7,4,4,75,Midterm,False,Midterm period
2025-10-16,Fall 2025,3,8,7,4,4,75,Midterm,False,
2025-10-17,Fall 2025,3,4,8,3,3,None,None,True,
2025-12-10,Fall 2025,3,10,6,5,5,90,Final,False,Finals period
2025-12-11,Fall 2025,3,10,6,5,5,90,Final,False,
2025-12-12,Fall 2025,3,8,6,5,5,90,Final,True,Study on weekend during finals
2026-01-15,Spring 2026,5,7,8,2,3,88,None,False,Start of Spring semester - 5 courses + Internship
2026-01-16,Spring 2026,5,7,8,2,3,88,None,False,
2026-01-17,Spring 2026,5,2,8,1,2,None,None,True,Social media scrolling
2026-03-15,Spring 2026,5,9,6,5,4,70,Midterm,False,Midterm period - High stress
2026-03-16,Spring 2026,5,9,6,5,4,70,Midterm,False,
2026-03-17,Spring 2026,5,9,6,5,4,70,Midterm,False,
2026-05-12,Spring 2026,5,10,6,5,5,92,Final,False,Current Date - Final term period
2026-05-13,Spring 2026,5,10,6,5,5,92,Final,False,
2026-05-14,Spring 2026,5,10,6,5,5,92,Final,False,
2026-05-15,Spring 2026,5,10,6,5,5,92,Final,True,Finals weekend study
2026-05-16,Spring 2026,5,10,6,5,5,92,Final,True,Finals weekend study
2026-05-17,Spring 2026,5,10,6,5,5,92,Final,True,Finals weekend study
2026-05-25,Spring 2026,5,12,5,5,5,95,Final,False,Project Submission Deadline
